%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1480508886313227254,599,1480508886312053506,,0.0,0.0
1480508886334818149,600,1480508886332310862,,0.0,0.0
1480508886352980718,601,1480508886351601658,,0.0,0.0
1480508886377772128,602,1480508886374828904,,0.0,0.0
1480508886393843763,603,1480508886391681319,,0.0,0.0
1480508886417389550,604,1480508886411815498,,0.0,0.0
1480508886434643162,605,1480508886432587281,,0.0,0.0
1480508886454689737,606,1480508886452705835,,0.0,0.0
1480508886478071983,607,1480508886474614282,,0.0,0.0
1480508886494168098,608,1480508886492622059,,0.0,0.0
1480508886512929623,609,1480508886511652022,,0.0,0.0
1480508886536548692,610,1480508886531744222,,0.0,0.0
1480508886556514538,611,1480508886551615902,,0.0,0.0
1480508886575351324,612,1480508886572432528,,0.0,0.0
1480508886595373004,613,1480508886591600772,,0.0,0.0
1480508886614407029,614,1480508886612973334,,0.0,0.0
1480508886635266624,615,1480508886631616370,,0.0,0.0
1480508886654646481,616,1480508886651566019,,0.0,0.0
1480508886676902115,617,1480508886672813165,,0.0,0.0
1480508886694004529,618,1480508886691579013,,0.0,0.0
1480508886715310269,619,1480508886712269181,,0.0,0.0
1480508886736201999,620,1480508886732037892,,0.0,0.0
1480508886755372170,621,1480508886751718687,,0.0,0.0
1480508886776124265,622,1480508886774626455,,0.0,0.0
1480508886794638655,623,1480508886792844128,,0.0,0.0
1480508886817290434,624,1480508886813328775,,0.0,0.0
1480508886837885081,625,1480508886833468788,,0.0,0.0
1480508886856930461,626,1480508886852753594,,0.0,0.0
1480508886878374533,627,1480508886873971729,,0.0,0.0
1480508886896875278,628,1480508886893270650,,0.0,0.0
1480508886917894456,629,1480508886912581445,,0.0,0.0
1480508886934778694,630,1480508886932080730,,0.0,0.0
1480508886958172137,631,1480508886952272461,,0.0,0.0
1480508886976974809,632,1480508886973741482,,0.0,0.0
1480508886993624464,633,1480508886992335716,,0.0,0.0
1480508887012794478,634,1480508887011619429,,0.0,0.0
1480508887033777198,635,1480508887032326680,,0.0,0.0
1480508887052762317,636,1480508887051624767,,0.0,0.0
1480508887078327371,637,1480508887074693784,,0.0,0.0
1480508887095588379,638,1480508887092824478,,0.0,0.0
1480508887114263030,639,1480508887112858449,,0.0,0.0
1480508887133428096,640,1480508887132380078,,0.0,0.0
1480508887155939875,641,1480508887152269101,,0.0,0.0
1480508887175534576,642,1480508887173976507,,0.0,0.0
1480508887194871049,643,1480508887193310583,,0.0,0.0
1480508887214489188,644,1480508887212863149,,0.0,0.0
1480508887234784773,645,1480508887233285505,,0.0,0.0
1480508887257972019,646,1480508887253591663,,0.0,0.0
1480508887275093757,647,1480508887273745582,,0.0,0.0
1480508887294748510,648,1480508887292210494,,0.0,0.0
