%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1463563509657075276,523,1463563509650952676,,-21.5073051453,-3.2107591629,132.67880249,0.010158999823,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42.134147644,-3.71951246262,8.5365858078,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.201112939453,3.43328518066,-9.27034882812,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509665327997,524,1463563509661359320,,-21.0247707367,-3.1887140274,132.773132324,0.0104310000315,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,43.7195129395,-4.45121955872,9.69512176514,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.205901342773,3.0166940918,-9.31344387349,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509675768547,525,1463563509672641491,,-20.5148887634,-3.17230057716,132.895217896,0.011103999801,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44.817073822,-5.36585378647,11.341463089,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.253785375977,3.17471140137,-9.31823227681,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509685108047,526,1463563509681169527,,-20.1139392853,-3.16089606285,132.996688843,0.00870199967176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46.0365867615,-5.79268312454,11.8292684555,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.225054956055,3.26090266113,-9.28950185688,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509693695041,527,1463563509691340752,,-19.6291103363,-3.15009641647,133.132446289,0.0100819999352,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0243911743,-6.21951246262,13.5365858078,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.282515795898,3.36145913086,-9.32302068013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509704632574,528,1463563509701422601,,-19.1253929138,-3.14201235771,133.281936646,0.0101159997284,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,52.4390258789,-6.7682929039,14.6341466904,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.282515795898,3.56736047363,-9.2942902602,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509718434192,529,1463563509716201154,,-18.5499820709,-3.12692189217,133.453674316,0.0100990002975,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,58.4756126404,-6.70731735229,17.0731716156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.282515795898,3.26090266113,-9.36132790669,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509723968558,530,1463563509721690884,,-17.9162979126,-3.10667490959,133.650360107,0.0100809996948,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,60.6707382202,-6.64634132385,19.9390239716,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.325611425781,2.52827695312,-9.60074924175,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509734468588,531,1463563509732238362,,-17.2711257935,-3.07749843597,133.869338989,0.0101169999689,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,60.6707382202,-6.89024400711,22.1341457367,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.201112939453,2.20266552734,-9.48103915874,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509744732105,532,1463563509742481359,,-16.6455860138,-3.04478383064,134.113739014,0.0102669997141,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,59.4512176514,-6.34146356583,24.4512195587,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.316034619141,2.39420180629,-9.61990285503,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509754521661,533,1463563509752247372,,-16.0468997955,-3.02499985695,134.367889404,0.00998799968511,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,59.6951255798,-7.07317113876,25.8536586761,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.421379492187,2.47081611328,-9.5432884019,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509764595073,534,1463563509762469587,,-15.4465856552,-2.99765825272,134.623779297,0.0100670000538,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,61.0975608826,-6.15853643417,25.975610733,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.402225878906,2.65756384277,-9.48103915874,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509774558380,535,1463563509772281904,,-14.8398704529,-2.97702240944,134.89201355,0.010277999565,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,64.6951217651,-6.0365858078,26.4634151459,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.517147558594,3.26090266113,-9.31823227681,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509785259609,536,1463563509782946414,,-14.1679944992,-2.95156931877,135.151870728,0.00989400036633,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,72.0731735229,-4.14634132385,27.1951236725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.718260498047,2.91613762207,-9.44751916645,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509794773850,537,1463563509792378935,,-13.3974962234,-2.89847993851,135.420593262,0.0101220002398,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,76.0365829468,-2.56097555161,28.0487804413,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.478840332031,2.02070620117,-9.37569311665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509806285085,538,1463563509802437034,,-12.6019039154,-2.82363939285,135.708099365,0.0100919995457,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75.8536605835,-1.95121955872,30.2439022064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.220266552734,1.37906015625,-9.36132790669,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463563509820242486,539,1463563509814547181,,-11.8445558548,-2.73569989204,136.020706177,0.0100889997557,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,73.2317123413,-1.46341466904,32.7439041138,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0957680664062,1.44609780273,-9.49061596538,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
