%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1481888382064321796,88,1481888382061336029,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888382184665611,89,1481888382181751094,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888382375132173,90,1481888382372174947,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888382584360782,91,1481888382574829889,,0,0,46.5185012817,6.5665974617,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888382782561735,92,1481888382776932542,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888382986492661,93,1481888382980013680,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888383187230372,94,1481888383181528732,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888383381507489,95,1481888383373910597,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888383573093264,96,1481888383566998084,,0,0,46.5185012817,6.5665974617,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888383686735547,97,1481888383677054342,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888383874969254,98,1481888383869944434,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888384078415078,99,1481888384073595517,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888384289415242,100,1481888384275961138,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888384469922266,101,1481888384467535194,,0,0,46.5185012817,6.56659698486,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888384679176709,102,1481888384676517555,,0,0,46.5185012817,6.56659698486,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888384862340492,103,1481888384859224205,,0,0,46.5185012817,6.56659698486,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888384967985469,104,1481888384959765924,,0,0,46.5185012817,6.56659698486,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888385073941330,105,1481888385071071291,,0,0,46.5185012817,6.56659698486,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888385294781709,106,1481888385291540890,,0,0,46.5185012817,6.56659698486,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888385487645082,107,1481888385482682292,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888385692468764,108,1481888385687654515,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888385884718494,109,1481888385880356379,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888386097983647,110,1481888386092846119,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888386274927459,111,1481888386272576897,,0,0,46.5185012817,6.56659650803,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888386487900166,112,1481888386484466119,,0,0,46.5185012817,6.56659603119,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888386689246729,113,1481888386686869031,,0,0,46.5185012817,6.566593647,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888386884093634,114,1481888386881416459,,0,0,46.5185012817,6.56658840179,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888387086721389,115,1481888387082261722,,0,0,46.518497467,6.56658124924,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1481888387402586585,116,1481888387398447126,,0,0,46.518497467,6.56657314301,2.77602830977e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
