%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463563957393587428,396,1463563957240655563,,1530.0,14.1599998474
1463563957397241890,397,1463563957267150453,,1529.0,14.0399999619
1463563957397308293,398,1463563957284705350,,1529.0,14.0399999619
1463563957397595884,399,1463563957302344305,,1529.0,13.9200000763
1463563957397631247,400,1463563957319030181,,1529.0,13.9200000763
1463563957397665412,401,1463563957339254483,,1530.0,14.0399999619
1463563957397699889,402,1463563957351434062,,1530.0,14.0399999619
1463563957397980032,403,1463563957364667341,,1529.0,14.0399999619
1463563957399202162,404,1463563957374163505,,1529.0,14.0399999619
1463563957401165194,405,1463563957391277121,,1530.0,14.0399999619
1463563957429551400,406,1463563957425045572,,1530.0,14.0399999619
1463563957442600157,407,1463563957439320729,,1530.0,14.0399999619
1463563957454969310,408,1463563957452753425,,1530.0,14.0399999619
1463563957474388493,409,1463563957463709312,,1530.0,14.0399999619
1463563957507073246,410,1463563957500417572,,1530.0,14.0399999619
1463563957543595057,411,1463563957538456498,,1529.0,14.0399999619
1463563957573827478,412,1463563957568879483,,1529.0,14.0399999619
1463563957591079941,413,1463563957589267839,,1530.0,13.9200000763
1463563957611986346,414,1463563957598402302,,1529.0,14.0399999619
1463563957760398529,415,1463563957607309224,,1529.0,13.9200000763
1463563957760897203,416,1463563957622335334,,1529.0,13.9200000763
1463563957760943503,417,1463563957631762700,,1530.0,14.0399999619
1463563957761259322,418,1463563957639345205,,1530.0,14.0399999619
1463563957761434834,419,1463563957656787191,,1530.0,14.0399999619
1463563957761479572,420,1463563957663826493,,1529.0,14.0399999619
1463563957761664094,421,1463563957681349204,,1529.0,14.0399999619
1463563957762844924,422,1463563957694186980,,1530.0,14.0399999619
1463563957762904140,423,1463563957714831523,,1530.0,14.0399999619
1463563957762945544,424,1463563957731111532,,1530.0,14.0399999619
1463563957776163355,425,1463563957742751189,,1530.0,14.0399999619
1463563957797061010,426,1463563957762458848,,1529.0,14.0399999619
1463563957797368235,427,1463563957768979841,,1529.0,14.0399999619
1463563957797814412,428,1463563957781063018,,1529.0,14.0399999619
1463563957905526389,429,1463563957803920112,,1529.0,14.0399999619
1463563957905783096,430,1463563957816047141,,1529.0,14.0399999619
1463563957906029438,431,1463563957842423078,,1529.0,14.0399999619
1463563957906648523,432,1463563957874806700,,1529.0,13.9200000763
1463563957906702167,433,1463563957900953793,,1529.0,13.9200000763
1463563957939787890,434,1463563957923318827,,1529.0,13.9200000763
1463563957956311846,435,1463563957946027594,,1529.0,13.9200000763
1463563957970554192,436,1463563957964161110,,1529.0,14.0399999619
1463563958005966888,437,1463563957987603905,,1530.0,14.0399999619
1463563958036669292,438,1463563958003538358,,1529.0,14.0399999619
1463563958036776214,439,1463563958014243112,,1529.0,14.0399999619
1463563958036831993,440,1463563958021423971,,1530.0,14.0399999619
1463563958045132226,441,1463563958039031420,,1530.0,14.0399999619
1463563958096636250,442,1463563958084953157,,1530.0,14.0399999619
