%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1464109362016422388,195,1464109361772571456,,6.5443649292,-6.6222987175,-18.0785694122,0.00115200004075,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.84146332741,21.0975627899,-1.64634156227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.177170922852,-1.02950671387,12.1769096436,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362016672752,196,1464109361793194367,,6.9380068779,-6.74063587189,-18.2881298065,0.00114099995699,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-6.89024400711,18.9634151459,3.23170733452,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.277727392578,-1.11569797363,12.2008516602,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362016715616,197,1464109361814031756,,7.29604291916,-6.9187746048,-18.3937835693,0.00101600005291,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-10.548781395,10.1219511032,6.89024400711,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.77093293457,-1.20667770978,12.1194488037,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362016771970,198,1464109361836667422,,7.44627904892,-7.18863916397,-18.4202251434,0.00486500002444,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-13.7804880142,-1.70731711388,9.45121955872,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.847547387695,-1.42694418945,12.3349269531,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362016837595,199,1464109361857610176,,7.38226556778,-7.50782251358,-18.3959274292,0.00157700001728,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-15.4878053665,-9.93902492523,9.14634132385,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.852335791016,-1.94409174805,12.5599819092,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362016926189,200,1464109361883143646,,7.12064647675,-7.94836235046,-18.3738193512,0.00746200000867,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-13.1097564697,-15.3658533096,7.01219511032,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.842758984375,-2.64319863281,12.5743471191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362017026449,201,1464109361904948221,,6.81817054749,-8.26233673096,-18.4031734467,0.00757999997586,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.25609779358,-17.4390239716,5.79268312454,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.756567724609,-2.78685073242,12.7802484619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362017099261,202,1464109361927363106,,6.5110077858,-8.45611763,-18.4569377899,0.00277399993502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.0,-13.048781395,3.96341490746,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0239420166016,-2.26012636719,13.005303418,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362017242229,203,1464109361948533932,,6.36827659607,-8.57397937775,-18.5493545532,0.00356100010686,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.85365867615,-0.365853667259,3.90243911743,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.292092584273,-2.16435844691,13.5511813965,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1464109362017315354,204,1464109361974187142,,6.50342845917,-8.74520301819,-18.7229328156,0.00319500011392,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.57317066193,6.09756088257,0.243902444839,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.536301208408,-2.15957004359,12.7275760254,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
