%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1464801018278280008,314,1464801018273133144,,0.0,0.0
1464801018294791431,315,1464801018293114560,,0.0,0.0
1464801018315680137,316,1464801018313090611,,0.0,0.0
1464801018334550879,317,1464801018333112548,,0.0,0.0
1464801018358586974,318,1464801018353415110,,0.0,0.0
1464801018376533498,319,1464801018373220745,,0.0,0.0
1464801018398371837,320,1464801018393572733,,0.0,0.0
1464801018418587003,321,1464801018413374201,,0.0,0.0
1464801018438829304,322,1464801018433561346,,0.0,0.0
1464801018455919268,323,1464801018453862762,,0.0,0.0
1464801018475752142,324,1464801018473147148,,0.0,0.0
1464801018497368034,325,1464801018493202522,,0.0,0.0
1464801018514863622,326,1464801018513303209,,0.0,0.0
1464801018534461654,327,1464801018533154625,,0.0,0.0
1464801018554914319,328,1464801018553358489,,0.0,0.0
1464801018575415838,329,1464801018573110009,,0.0,0.0
1464801018594512568,330,1464801018593472831,,0.0,0.0
1464801018614792213,331,1464801018613293518,,0.0,0.0
1464801018635367169,332,1464801018633111601,,0.0,0.0
1464801018654658014,333,1464801018653102548,,0.0,0.0
1464801018674989950,334,1464801018673121308,,0.0,0.0
1464801018694313399,335,1464801018693097412,,0.0,0.0
1464801018716002259,336,1464801018713151484,,0.0,0.0
1464801018736642788,337,1464801018733094358,,0.0,0.0
1464801018756091966,338,1464801018753093222,,0.0,0.0
1464801018774793489,339,1464801018773090420,,0.0,0.0
1464801018796113652,340,1464801018793077617,,0.0,0.0
1464801018816503297,341,1464801018813159137,,0.0,0.0
1464801018836432942,342,1464801018833177897,,0.0,0.0
1464801018856034984,343,1464801018853817176,,0.0,0.0
1464801018874947288,344,1464801018873171875,,0.0,0.0
1464801018898112395,345,1464801018893201051,,0.0,0.0
1464801018917898447,346,1464801018913170957,,0.0,0.0
1464801018936858198,347,1464801018933082112,,0.0,0.0
1464801018957286697,348,1464801018953121081,,0.0,0.0
1464801018976287698,349,1464801018973106455,,0.0,0.0
1464801018996416145,350,1464801018993112819,,0.0,0.0
1464801019016520217,351,1464801019013095016,,0.0,0.0
1464801019036441738,352,1464801019033126536,,0.0,0.0
1464801019054540970,353,1464801019053146546,,0.0,0.0
1464801019074453272,354,1464801019073116243,,0.0,0.0
1464801019096112913,355,1464801019093123805,,0.0,0.0
1464801019116482350,356,1464801019113115430,,0.0,0.0
1464801019136181266,357,1464801019133114450,,0.0,0.0
1464801019157764866,358,1464801019153112741,,0.0,0.0
1464801019177806699,359,1464801019173088428,,0.0,0.0
1464801019197279679,360,1464801019193104531,,0.0,0.0
1464801019217252866,361,1464801019213166885,,0.0,0.0
1464801019237501729,362,1464801019233175228,,0.0,0.0
1464801019259455797,363,1464801019253463883,,0.0,0.0
1464801019281993926,364,1464801019276592375,,0.0,0.0
1464801019295824210,365,1464801019293625100,,0.0,0.0
1464801019316491458,366,1464801019314091515,,0.0,0.0
1464801019338325266,367,1464801019334918398,,0.0,0.0
1464801019354839918,368,1464801019353049349,,0.0,0.0
1464801019375673155,369,1464801019373098786,,0.0,0.0
1464801019395111187,370,1464801019393118014,,0.0,0.0
1464801019414648073,371,1464801019413131670,,0.0,0.0
1464801019434768551,372,1464801019433111419,,0.0,0.0
1464801019454338979,373,1464801019453166481,,0.0,0.0
1464801019474744508,374,1464801019473159564,,0.0,0.0
1464801019494705820,375,1464801019493139990,,0.0,0.0
1464801019514271716,376,1464801019513145833,,0.0,0.0
1464801019534274278,377,1464801019533146156,,0.0,0.0
1464801019554617256,378,1464801019553153874,,0.0,0.0
1464801019574304402,379,1464801019573299717,,0.0,0.0
1464801019594171235,380,1464801019593178737,,0.0,0.0
