%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463081038908924690,602,1463081038820018041,,1523.0,1380.0
1463081038909003440,603,1463081038829993802,,1522.0,1380.0
1463081038909086253,604,1463081038839932794,,1522.0,1620.0
1463081038909123857,605,1463081038850130795,,1522.0,1620.0
1463081038909165523,606,1463081038860037963,,1522.0,1620.0
1463081038909209898,607,1463081038870056329,,1522.0,1620.0
1463081038909247033,608,1463081038881852243,,1522.0,1620.0
1463081038909381044,609,1463081038889780301,,1522.0,1620.0
1463081038909430627,610,1463081038899981114,,1521.0,1620.0
1463081038911420988,611,1463081038909956147,,1521.0,1620.0
1463081038925934032,612,1463081038919928679,,1522.0,1620.0
1463081038931557459,613,1463081038930233295,,1522.0,1620.0
1463081038941955928,614,1463081038940650358,,1522.0,1620.0
1463081038951573149,615,1463081038950125183,,1522.0,1620.0
1463081038962084170,616,1463081038960124486,,1522.0,1380.0
1463081038971630870,617,1463081038969975248,,1521.0,1380.0
1463081038981645955,618,1463081038980002260,,1521.0,1380.0
1463081038991968904,619,1463081038990096876,,1522.0,1380.0
1463081039001689822,620,1463081039000111648,,1522.0,1620.0
1463081039011794750,621,1463081039009921160,,1522.0,1620.0
1463081039021466138,622,1463081039019973536,,1522.0,1620.0
1463081039031617108,623,1463081039029889611,,1522.0,1620.0
1463081039043759532,624,1463081039040028862,,1522.0,1620.0
1463081039053025243,625,1463081039049838218,,1522.0,1620.0
1463081039062437777,626,1463081039059898719,,1522.0,1620.0
1463081039071739217,627,1463081039070256564,,1522.0,1620.0
1463081039082427269,628,1463081039080171440,,1522.0,1620.0
1463081039093164748,629,1463081039090089337,,1522.0,1620.0
1463081039101716815,630,1463081039099899006,,1522.0,1620.0
1463081039111809087,631,1463081039109946434,,1521.0,1620.0
1463081039121902452,632,1463081039120317247,,1521.0,1620.0
1463081039131919725,633,1463081039130387176,,1524.0,1620.0
1463081039142380017,634,1463081039139890386,,1524.0,1620.0
1463081039151470780,635,1463081039149939794,,1524.0,1620.0
1463081039161837427,636,1463081039159945399,,1524.0,1620.0
1463081039172698656,637,1463081039170776264,,1522.0,1620.0
1463081039181885148,638,1463081039179889840,,1522.0,1620.0
1463081039191796639,639,1463081039189855028,,1523.0,1620.0
1463081039201574953,640,1463081039199931103,,1523.0,1380.0
1463081039211532851,641,1463081039209921656,,1523.0,1380.0
1463081039221472415,642,1463081039219902626,,1523.0,1380.0
1463081039231553749,643,1463081039229991773,,1522.0,1380.0
1463081039241498782,644,1463081039239801650,,1522.0,1620.0
1463081039251762252,645,1463081039249922411,,1522.0,1620.0
1463081039261489733,646,1463081039259952548,,1522.0,1620.0
1463081039271751327,647,1463081039269991851,,1522.0,1620.0
1463081039281749954,648,1463081039279933967,,1522.0,1380.0
1463081039291582695,649,1463081039289933531,,1522.0,1380.0
1463081039301489290,650,1463081039299942418,,1522.0,1380.0
1463081039313042393,651,1463081039309942919,,1521.0,1380.0
1463081039321708730,652,1463081039319933629,,1522.0,1620.0
1463081039331637981,653,1463081039329923922,,1522.0,1620.0
1463081039343727645,654,1463081039339917757,,1522.0,1620.0
1463081039352269608,655,1463081039349925550,,1523.0,1620.0
1463081039362425734,656,1463081039359911937,,1523.0,1380.0
1463081039371807799,657,1463081039369966136,,1523.0,1380.0
1463081039382522257,658,1463081039379794554,,1523.0,1380.0
1463081039393846037,659,1463081039389932139,,1522.0,1380.0
