%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481552488614466285,472,1481552488440451718,,0.0,180.0
1481552488614541336,473,1481552488460699949,,0.0,180.0
1481552488614686180,474,1481552488480659535,,0.0,180.0
1481552488614762273,475,1481552488500408600,,0.0,180.0
1481552488614845138,476,1481552488519990531,,0.0,180.0
1481552488614915346,477,1481552488540425480,,0.0,180.0
1481552488615029564,478,1481552488559929285,,0.0,180.0
1481552488615103366,479,1481552488580001006,,0.0,180.0
1481552488615205814,480,1481552488599994602,,0.0,180.0
1481552488622165067,481,1481552488619875438,,0.0,180.0
1481552488642050226,482,1481552488639910232,,0.0,180.0
1481552488663226736,483,1481552488659928150,,0.0,180.0
1481552488682482677,484,1481552488679879924,,0.0,180.0
1481552488703162886,485,1481552488699954353,,0.0,180.0
1481552488722532317,486,1481552488719995501,,0.0,180.0
1481552488743965233,487,1481552488740026805,,0.0,180.0
1481552488764225286,488,1481552488759996703,,0.0,180.0
1481552488783598519,489,1481552488780568318,,0.0,180.0
1481552488802854148,490,1481552488800588789,,0.0,180.0
1481552488824616594,491,1481552488821045769,,0.0,180.0
1481552488842332175,492,1481552488839958743,,0.0,180.0
1481552488862075667,493,1481552488859962183,,0.0,180.0
1481552488883238375,494,1481552488880516975,,0.0,180.0
1481552488902980253,495,1481552488899892083,,0.0,180.0
1481552488923213327,496,1481552488919900575,,0.0,180.0
1481552488944324160,497,1481552488939813650,,0.0,180.0
1481552488961911512,498,1481552488959832559,,0.0,180.0
1481552488982402346,499,1481552488979826103,,0.0,180.0
1481552489001825735,500,1481552488999817251,,0.0,180.0
1481552489021922039,501,1481552489019863815,,0.0,180.0
1481552489041621886,502,1481552489039814547,,0.0,180.0
1481552489062056835,503,1481552489059839914,,0.0,180.0
1481552489081990848,504,1481552489079868614,,0.0,180.0
1481552489104997249,505,1481552489099826012,,0.0,180.0
1481552489121983248,506,1481552489119857004,,0.0,180.0
1481552489142238562,507,1481552489139887006,,0.0,180.0
1481552489162535647,508,1481552489159978622,,0.0,180.0
1481552489182512837,509,1481552489179876541,,0.0,180.0
1481552489202362371,510,1481552489199843679,,0.0,180.0
1481552489221974666,511,1481552489219850036,,0.0,180.0
1481552489242958884,512,1481552489239891548,,0.0,180.0
1481552489263546437,513,1481552489260483007,,0.0,180.0
1481552489283955865,514,1481552489280289676,,0.0,180.0
1481552489302551861,515,1481552489299891919,,0.0,180.0
1481552489323054674,516,1481552489319897963,,0.0,180.0
1481552489343536863,517,1481552489339826820,,0.0,180.0
1481552489367758104,518,1481552489359830364,,0.0,180.0
1481552489382409057,519,1481552489379856512,,0.0,180.0
1481552489402385414,520,1481552489400409846,,0.0,180.0
1481552489422577863,521,1481552489420395004,,0.0,180.0
1481552489442535991,522,1481552489440407975,,0.0,180.0
1481552489462779378,523,1481552489460380582,,0.0,180.0
1481552489482217871,524,1481552489480036418,,0.0,180.0
1481552489502521518,525,1481552489500022045,,0.0,180.0
1481552489522155115,526,1481552489519821319,,0.0,180.0
1481552489542066784,527,1481552489539909967,,0.0,180.0
1481552489562598921,528,1481552489559931531,,0.0,180.0
1481552489583352723,529,1481552489579992940,,0.0,180.0
1481552489602822101,530,1481552489599980598,,0.0,180.0
1481552489624799442,531,1481552489620186954,,0.0,180.0
1481552489643936791,532,1481552489640883517,,0.0,180.0
1481552489662538307,533,1481552489659987844,,0.0,180.0
1481552489683596692,534,1481552489680020242,,0.0,180.0
1481552489703287997,535,1481552489700237379,,0.0,180.0
1481552489723619404,536,1481552489720618266,,0.0,180.0
1481552489741879880,537,1481552489739953114,,0.0,180.0
1481552489763608576,538,1481552489759854106,,0.0,180.0
1481552489782943163,539,1481552489779963274,,0.0,180.0
1481552489802228063,540,1481552489799836714,,0.0,180.0
1481552489821728483,541,1481552489819865987,,0.0,180.0
1481552489842031870,542,1481552489839834792,,0.0,180.0
1481552489861953799,543,1481552489859891044,,0.0,180.0
1481552489882605883,544,1481552489880007140,,0.0,180.0
1481552489902021460,545,1481552489899834955,,0.0,180.0
1481552489921935941,546,1481552489919803551,,0.0,180.0
1481552489941890839,547,1481552489939950688,,0.0,180.0
1481552489962308809,548,1481552489959915117,,0.0,180.0
1481552489982229958,549,1481552489979918974,,0.0,180.0
1481552490002018762,550,1481552489999829653,,0.0,180.0
1481552490022065275,551,1481552490019851895,,0.0,180.0
1481552490041971267,552,1481552490039816168,,0.0,180.0
1481552490061805176,553,1481552490059845493,,0.0,180.0
1481552490082082209,554,1481552490079911068,,0.0,180.0
1481552490102229398,555,1481552490100033049,,0.0,180.0
1481552490122666482,556,1481552490120304197,,0.0,180.0
1481552490142153100,557,1481552490139949981,,0.0,180.0
1481552490163672891,558,1481552490159830765,,0.0,180.0
1481552490182574875,559,1481552490179845090,,0.0,180.0
1481552490202028732,560,1481552490199805873,,0.0,180.0
1481552490222295974,561,1481552490219829313,,0.0,180.0
1481552490242002487,562,1481552490239842284,,0.0,180.0
1481552490262459571,563,1481552490259831192,,0.0,180.0
1481552490282132804,564,1481552490279793122,,0.0,180.0
1481552490301720359,565,1481552490299802030,,0.0,180.0
1481552490322066558,566,1481552490319876668,,0.0,180.0
1481552490341807394,567,1481552490339830160,,0.0,180.0
1481552490362130364,568,1481552490359840943,,0.0,180.0
1481552490382239221,569,1481552490379890060,,0.0,180.0
1481552490402814169,570,1481552490399994228,,0.0,180.0
1481552490421946830,571,1481552490419882460,,0.0,180.0
1481552490447403173,572,1481552490440052618,,0.0,180.0
1481552490465563596,573,1481552490460446682,,0.0,180.0
1481552490485268912,574,1481552490479885748,,0.0,180.0
1481552490502158140,575,1481552490499843042,,0.0,180.0
1481552490523564858,576,1481552490519829607,,0.0,180.0
1481552490542293040,577,1481552490539841119,,0.0,180.0
1481552490562730906,578,1481552490559859403,,0.0,180.0
1481552490582519815,579,1481552490579863988,,0.0,180.0
1481552490602361015,580,1481552490599877063,,0.0,180.0
1481552490622385705,581,1481552490619889878,,0.0,180.0
1481552490642776383,582,1481552490639858422,,0.0,180.0
1481552490661857169,583,1481552490659864258,,0.0,180.0
1481552490681667589,584,1481552490679834572,,0.0,180.0
1481552490701303998,585,1481552490699893168,,0.0,180.0
1481552490721737697,586,1481552490719892597,,0.0,180.0
1481552490742426447,587,1481552490739898381,,0.0,180.0
1481552490762015617,588,1481552490759915154,,0.0,180.0
1481552490781971766,589,1481552490779883594,,0.0,180.0
1481552490801974424,590,1481552490799975054,,0.0,180.0
1481552490822577914,591,1481552490820635523,,0.0,180.0
1481552490845290097,592,1481552490839912298,,0.0,180.0
1481552490862336357,593,1481552490860557976,,0.0,180.0
1481552490882323547,594,1481552490879912719,,0.0,180.0
1481552490901615790,595,1481552490899839076,,0.0,180.0
1481552490921628032,596,1481552490919844807,,0.0,180.0
1481552490941633399,597,1481552490939811216,,0.0,180.0
1481552490961730901,598,1481552490959848093,,0.0,180.0
1481552490981840642,599,1481552490979859293,,0.0,180.0
1481552491001827363,600,1481552490999891066,,0.0,180.0
1481552491021800438,601,1481552491019851954,,0.0,180.0
1481552491041847836,602,1481552491039847841,,0.0,180.0
1481552491061946797,603,1481552491059837791,,0.0,180.0
1481552491081779508,604,1481552491079831596,,0.0,180.0
1481552491101945186,605,1481552491099894150,,0.0,180.0
1481552491122121386,606,1481552491120047954,,0.0,180.0
1481552491143542062,607,1481552491139943217,,0.0,180.0
1481552491163360294,608,1481552491159856605,,0.0,180.0
1481552491183710035,609,1481552491179875617,,0.0,180.0
1481552491203049361,610,1481552491200469160,,0.0,180.0
1481552491224296496,611,1481552491219954215,,0.0,180.0
1481552491242128847,612,1481552491239953176,,0.0,180.0
1481552491262501713,613,1481552491259996042,,0.0,180.0
1481552491282504372,614,1481552491280198284,,0.0,180.0
1481552491301809896,615,1481552491299766829,,0.0,180.0
1481552491321765888,616,1481552491319814852,,0.0,180.0
1481552491341818963,617,1481552491339844020,,0.0,180.0
1481552491361760476,618,1481552491359832512,,0.0,180.0
1481552491381669124,619,1481552491379825900,,0.0,180.0
1481552491401844074,620,1481552491399829079,,0.0,180.0
1481552491421725066,621,1481552491419831165,,0.0,180.0
1481552491441890693,622,1481552491439868406,,0.0,180.0
1481552491461860747,623,1481552491459844867,,0.0,180.0
1481552491481730646,624,1481552491479847734,,0.0,180.0
1481552491501660179,625,1481552491499821174,,0.0,180.0
1481552491521857785,626,1481552491519862322,,0.0,180.0
