%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1463662449012126550,538,1463662448912497195,,-10.0005912781,-6.7282500267,154.477478027,0.0190200004727,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.487804889679,13.658536911,-5.18292713165,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5562310791,1.91536132812,-9.56723041851,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449014927442,539,1463662448915740496,,-10.0077285767,-6.69058799744,154.448806763,0.00240599992685,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.853658556938,12.9878053665,-5.79268312454,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.40300217285,2.18351191406,-9.7348239502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449015250928,540,1463662448924000805,,-10.0257730484,-6.5564699173,154.333023071,0.00884999986738,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.487804889679,12.0121955872,-7.19512224197,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.52750065918,2.25533796387,-9.61511445171,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449015668387,541,1463662448934176091,,-10.0443086624,-6.4322385788,154.196578979,0.010156000033,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2195122242,9.51219558716,-8.04878044128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.49877023926,2.35589428746,-9.61990285503,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449015760224,542,1463662448944538071,,-10.0355854034,-6.3337187767,154.06036377,0.0100579997525,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.548780500889,6.21951246262,-8.35365867615,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.65678754883,1.74776721191,-9.61511445171,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449016444806,543,1463662448954411227,,-10.0418052673,-6.27169275284,153.939041138,0.0100429998711,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.13414645195,3.23170733452,-7.25609779358,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5322890625,1.52750065918,-9.77791958008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449016879924,544,1463662448964075863,,-10.0749082565,-6.24154996872,153.82119751,0.0101359998807,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.48780488968,0.548780500889,-7.19512224197,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.4844050293,1.44130939941,-10.1226846191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449016925816,545,1463662448974676889,,-10.155339241,-6.24043083191,153.709533691,0.0100859999657,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.5365858078,-0.853658556938,-7.07317113876,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.22104284668,1.75734401855,-10.1945106689,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449016980877,546,1463662448984186345,,-10.2700538635,-6.26161718369,153.589553833,0.0101039996371,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-10.4268293381,-1.70731711388,-8.23170757294,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.01514150391,2.07816689489,-10.2376062988,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449017038229,547,1463662448994815970,,-10.3957824707,-6.29912137985,153.467010498,0.010214000009,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-10.0609760284,-1.40243899822,-8.47560977936,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.675164868164,2.35589428746,-10.2423947021,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449017084486,548,1463662449004286722,,-10.5265312195,-6.33655738831,153.340103149,0.0100330002606,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-7.86585378647,-0.792682945728,-9.39024448395,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.603338854892,3.01190568848,-10.4099888184,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1463662449038853760,549,1463662449015759599,,-10.6272163391,-6.35964107513,153.210662842,0.0103139998391,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.86585378647,1.52439022064,-9.08536529541,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.445321508789,3.3710359375,-10.3573163818,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
