%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1463081261619325921,606,1463081261566036963,,1522.0,1620.0
1463081261619402380,607,1463081261575967516,,1522.0,1620.0
1463081261619475036,608,1463081261586049215,,1522.0,1620.0
1463081261619590140,609,1463081261596894038,,1522.0,1620.0
1463081261619700504,610,1463081261607083914,,1522.0,1620.0
1463081261619787952,611,1463081261615967855,,1523.0,1620.0
1463081261627907675,612,1463081261625897836,,1523.0,1620.0
1463081261637356407,613,1463081261635778233,,1523.0,1620.0
1463081261647649252,614,1463081261646121078,,1523.0,1620.0
1463081261657270066,615,1463081261655931058,,1523.0,1620.0
1463081261667390724,616,1463081261665898279,,1522.0,1380.0
1463081261681971893,617,1463081261676040655,,1522.0,1380.0
1463081261689283441,618,1463081261685802146,,1522.0,1380.0
1463081261698108789,619,1463081261695831085,,1522.0,1380.0
1463081261708423664,620,1463081261705892159,,1522.0,1620.0
1463081261717889427,621,1463081261715852660,,1522.0,1620.0
1463081261729222895,622,1463081261726135140,,1522.0,1620.0
1463081261737719597,623,1463081261735822569,,1523.0,1620.0
1463081261748827075,624,1463081261745989685,,1523.0,1620.0
1463081261757910026,625,1463081261755844562,,1523.0,1620.0
1463081261767874382,626,1463081261765959854,,1523.0,1620.0
1463081261778993319,627,1463081261775967179,,1522.0,1620.0
1463081261789632725,628,1463081261786248461,,1522.0,1620.0
1463081261797562397,629,1463081261795894484,,1522.0,1620.0
1463081261807527065,630,1463081261805936547,,1522.0,1620.0
1463081261817485379,631,1463081261815852622,,1522.0,1620.0
1463081261827883328,632,1463081261825894894,,1522.0,1620.0
1463081261837786381,633,1463081261835799979,,1522.0,1620.0
1463081261847978184,634,1463081261845933969,,1522.0,1620.0
1463081261857877123,635,1463081261855856971,,1522.0,1620.0
1463081261867887052,636,1463081261865863045,,1522.0,1620.0
1463081261878646041,637,1463081261875911359,,1523.0,1620.0
1463081261888108627,638,1463081261885922642,,1523.0,1620.0
1463081261897361265,639,1463081261895961580,,1523.0,1620.0
1463081261908400046,640,1463081261906128488,,1523.0,1380.0
1463081261918285443,641,1463081261915875500,,1522.0,1380.0
1463081261927802404,642,1463081261925926314,,1522.0,1380.0
1463081261937754988,643,1463081261935922857,,1522.0,1380.0
1463081261947954448,644,1463081261945945285,,1522.0,1620.0
1463081261957500106,645,1463081261955924588,,1523.0,1620.0
1463081261968388210,646,1463081261966068215,,1523.0,1620.0
1463081261980356624,647,1463081261976013299,,1523.0,1620.0
1463081261987557860,648,1463081261985983801,,1523.0,1380.0
1463081261997439455,649,1463081261995868313,,1523.0,1380.0
1463081262007393603,650,1463081262005850533,,1523.0,1380.0
1463081262018165457,651,1463081262015840305,,1523.0,1380.0
1463081262028352052,652,1463081262025905598,,1522.0,1620.0
1463081262037440628,653,1463081262035888808,,1522.0,1620.0
1463081262047442171,654,1463081262045885142,,1522.0,1620.0
1463081262058019181,655,1463081262055774238,,1522.0,1620.0
1463081262068159526,656,1463081262065877083,,1522.0,1380.0
1463081262077590029,657,1463081262075877480,,1522.0,1380.0
1463081262089374433,658,1463081262086060481,,1522.0,1380.0
1463081262099360455,659,1463081262095966659,,1523.0,1380.0
1463081262108563197,660,1463081262106335389,,1523.0,1380.0
1463081262118009950,661,1463081262116021464,,1522.0,1380.0
1463081262128279148,662,1463081262126047174,,1522.0,1380.0
1463081262137502203,663,1463081262135915592,,1522.0,1380.0
1463081262147351195,664,1463081262145930312,,1523.0,1380.0
1463081262158289350,665,1463081262155852272,,1523.0,1380.0
1463081262168334591,666,1463081262165821940,,1522.0,1380.0
1463081262178328270,667,1463081262175843431,,1522.0,1380.0
1463081262187350752,668,1463081262185825963,,1522.0,1620.0
1463081262197206566,669,1463081262195786934,,1522.0,1620.0
1463081262207603161,670,1463081262205903424,,1522.0,1620.0
1463081262218055640,671,1463081262216158925,,1522.0,1620.0
1463081262227547184,672,1463081262225844479,,1522.0,1380.0
1463081262237994612,673,1463081262235929512,,1522.0,1380.0
1463081262248190217,674,1463081262245921055,,1522.0,1380.0
1463081262258122489,675,1463081262255904733,,1523.0,1380.0
1463081262268050074,676,1463081262265883724,,1523.0,1380.0
1463081262277671305,677,1463081262275906309,,1523.0,1380.0
1463081262288057327,678,1463081262285872279,,1522.0,1380.0
1463081262297958714,679,1463081262295850124,,1522.0,1380.0
1463081262308114006,680,1463081262305885990,,1522.0,1380.0
1463081262318127893,681,1463081262315936752,,1522.0,1380.0
1463081262327778708,682,1463081262325943034,,1522.0,1380.0
1463081262338065354,683,1463081262335889629,,1522.0,1380.0
1463081262347976950,684,1463081262345821537,,1522.0,1380.0
1463081262358157399,685,1463081262355892299,,1522.0,1380.0
1463081262367821026,686,1463081262365857540,,1522.0,1380.0
1463081262377452621,687,1463081262375820177,,1522.0,1380.0
1463081262387963382,688,1463081262385954532,,1522.0,1620.0
1463081262398560653,689,1463081262395868210,,1522.0,1620.0
1463081262408693394,690,1463081262405890535,,1522.0,1620.0
1463081262418456552,691,1463081262415857963,,1522.0,1620.0
1463081262428228199,692,1463081262425933933,,1522.0,1380.0
1463081262438380732,693,1463081262435863653,,1522.0,1380.0
1463081262448606024,694,1463081262445895144,,1522.0,1380.0
1463081262458458766,695,1463081262455883823,,1522.0,1380.0
1463081262468478329,696,1463081262465819168,,1523.0,1620.0
1463081262477525708,697,1463081262475927898,,1523.0,1620.0
1463081262487786521,698,1463081262485931472,,1524.0,1620.0
1463081262497432648,699,1463081262495906557,,1524.0,1620.0
1463081262507679711,700,1463081262505990965,,1522.0,1380.0
1463081262517441411,701,1463081262515872716,,1522.0,1380.0
1463081262527501027,702,1463081262525901395,,1523.0,1380.0
1463081262537500018,703,1463081262535866948,,1523.0,1380.0
1463081262547413488,704,1463081262545882397,,1523.0,1620.0
1463081262557509406,705,1463081262555843836,,1522.0,1620.0
1463081262567432720,706,1463081262565878348,,1522.0,1620.0
1463081262577543742,707,1463081262575888901,,1522.0,1620.0
1463081262587572004,708,1463081262585898205,,1522.0,1380.0
1463081262597479484,709,1463081262595911571,,1522.0,1380.0
1463081262607716912,710,1463081262605920874,,1522.0,1380.0
1463081262617576893,711,1463081262615852834,,1522.0,1380.0
1463081262628321039,712,1463081262626164741,,1522.0,1380.0
1463081262637829406,713,1463081262635928368,,1522.0,1380.0
1463081262647470376,714,1463081262645796317,,1522.0,1380.0
1463081262657461295,715,1463081262655751402,,1522.0,1380.0
1463081262667832941,716,1463081262665952163,,1523.0,1620.0
1463081262677733599,717,1463081262675753603,,1523.0,1620.0
1463081262687504986,718,1463081262685829000,,1523.0,1620.0
1463081262697691424,719,1463081262695750178,,1523.0,1620.0
1463081262707480572,720,1463081262705754638,,1522.0,1380.0
1463081262717812844,721,1463081262715888577,,1522.0,1380.0
1463081262727985793,722,1463081262725856682,,1522.0,1380.0
1463081262737788273,723,1463081262735838173,,1522.0,1380.0
1463081262748087472,724,1463081262745839299,,1523.0,1380.0
1463081262757635474,725,1463081262755827613,,1523.0,1380.0
1463081262767691757,726,1463081262765834156,,1523.0,1380.0
1463081262777891424,727,1463081262775879762,,1522.0,1380.0
1463081262787578749,728,1463081262785898961,,1522.0,1380.0
1463081262797983208,729,1463081262795913681,,1523.0,1380.0
1463081262807601835,730,1463081262805828870,,1523.0,1380.0
1463081262817745774,731,1463081262815878590,,1522.0,1380.0
1463081262828042681,732,1463081262825869300,,1522.0,1380.0
1463081262837587454,733,1463081262835871520,,1522.0,1380.0
1463081262847949830,734,1463081262845916136,,1522.0,1380.0
1463081262857556946,735,1463081262855845595,,1522.0,1380.0
1463081262867741666,736,1463081262865892711,,1522.0,1380.0
1463081262877869459,737,1463081262875815244,,1522.0,1380.0
1463081262887895325,738,1463081262885924651,,1522.0,1380.0
1463081262897933691,739,1463081262895940674,,1522.0,1380.0
1463081262907949713,740,1463081262905869717,,1522.0,1620.0
1463081262918188912,741,1463081262915960530,,1522.0,1620.0
1463081262927230769,742,1463081262925895511,,1523.0,1620.0
1463081262937683196,743,1463081262935915960,,1523.0,1620.0
1463081262948726612,744,1463081262945871097,,1523.0,1620.0
1463081262957800866,745,1463081262955822484,,1523.0,1620.0
1463081262968269960,746,1463081262965841371,,1523.0,1620.0
1463081262977833952,747,1463081262975872705,,1523.0,1620.0
1463081262987739922,748,1463081262985937894,,1523.0,1380.0
1463081262997605215,749,1463081262995898708,,1523.0,1380.0
1463081263007651237,750,1463081263005894886,,1523.0,1380.0
1463081263017568041,751,1463081263015861430,,1522.0,1380.0
1463081263027594115,752,1463081263025901462,,1522.0,1620.0
1463081263037827585,753,1463081263036035505,,1520.0,1620.0
1463081263047651263,754,1463081263045939131,,1520.0,1620.0
1463081263057779785,755,1463081263055908852,,1518.0,1620.0
1463081263067781849,756,1463081263065892947,,1518.0,1380.0
1463081263077668913,757,1463081263075927771,,1518.0,1380.0
1463081263087816133,758,1463081263085986345,,1522.0,1380.0
1463081263097618510,759,1463081263095856430,,1522.0,1380.0
1463081263107725730,760,1463081263105917869,,1530.0,1380.0
1463081263117820189,761,1463081263115976443,,1530.0,1380.0
1463081263127737878,762,1463081263125977725,,1522.0,1380.0
1463081263137666921,763,1463081263135864894,,1522.0,1380.0
1463081263147590704,764,1463081263145846124,,1525.0,1380.0
1463081263157690997,765,1463081263155985271,,1525.0,1380.0
1463081263168106393,766,1463081263166429730,,1525.0,1380.0
1463081263177908562,767,1463081263176373200,,1522.0,1380.0
1463081263187846251,768,1463081263186207035,,1522.0,1620.0
1463081263197894877,769,1463081263196239568,,1522.0,1620.0
1463081263208758293,770,1463081263206294704,,1522.0,1620.0
1463081263218296087,771,1463081263216192810,,1523.0,1620.0
1463081263228206797,772,1463081263226277999,,1523.0,1620.0
1463081263237818133,773,1463081263235907199,,1522.0,1620.0
1463081263248538737,774,1463081263246395876,,1522.0,1620.0
1463081263258303613,775,1463081263255936587,,1522.0,1620.0
1463081263269237186,776,1463081263266069223,,1522.0,1620.0
1463081263279319875,777,1463081263276263214,,1523.0,1620.0
1463081263288704283,778,1463081263286195903,,1523.0,1620.0
1463081263298608952,779,1463081263296180050,,1523.0,1620.0
1463081263308667161,780,1463081263306053000,,1522.0,1380.0
1463081263318867714,781,1463081263316022199,,1522.0,1380.0
1463081263329052330,782,1463081263326674834,,1522.0,1380.0
1463081263338064396,783,1463081263335846483,,1522.0,1380.0
1463081263348121355,784,1463081263346140838,,1523.0,1380.0
1463081263358791438,785,1463081263356129256,,1523.0,1380.0
1463081263368612357,786,1463081263366254289,,1522.0,1380.0
1463081263378535150,787,1463081263376435675,,1522.0,1380.0
1463081263388426224,788,1463081263386093833,,1522.0,1620.0
1463081263398358497,789,1463081263396059855,,1522.0,1620.0
1463081263407889103,790,1463081263406132284,,1522.0,1620.0
1463081263417701480,791,1463081263416127733,,1522.0,1620.0
1463081263429090885,792,1463081263425874589,,1522.0,1380.0
1463081263437843837,793,1463081263435860559,,1522.0,1380.0
1463081263447335901,794,1463081263445883769,,1522.0,1380.0
1463081263457903433,795,1463081263455855833,,1523.0,1380.0
1463081263467977320,796,1463081263465772688,,1523.0,1620.0
1463081263478735424,797,1463081263476737771,,1522.0,1620.0
1463081263487316396,798,1463081263485809681,,1522.0,1620.0
1463081263498017365,799,1463081263495894713,,1523.0,1620.0
1463081263508142606,800,1463081263505890944,,1523.0,1620.0
1463081263518098680,801,1463081263515906497,,1523.0,1620.0
1463081263527617985,802,1463081263525799238,,1522.0,1620.0
1463081263537170049,803,1463081263535877291,,1522.0,1620.0
1463081263548055705,804,1463081263545871699,,1522.0,1380.0
1463081263557631311,805,1463081263555850430,,1522.0,1380.0
1463081263567284991,806,1463081263565878535,,1522.0,1380.0
1463081263578889708,807,1463081263575888515,,1522.0,1380.0
1463081263587509899,808,1463081263585837298,,1523.0,1620.0
1463081263597640869,809,1463081263595901081,,1523.0,1620.0
1463081263607703610,810,1463081263605857259,,1523.0,1620.0
1463081263620377335,811,1463081263615890885,,1523.0,1620.0
1463081263627749612,812,1463081263626010241,,1523.0,1620.0
1463081263637946103,813,1463081263635862774,,1522.0,1620.0
1463081263648730978,814,1463081263645841608,,1522.0,1620.0
1463081263658640958,815,1463081263655832735,,1523.0,1620.0
1463081263667232088,816,1463081263665877507,,1523.0,1620.0
1463081263678211389,817,1463081263675943112,,1522.0,1620.0
1463081263688195068,818,1463081263685953718,,1522.0,1620.0
1463081263697369268,819,1463081263695908646,,1523.0,1620.0
1463081263708395914,820,1463081263705891596,,1523.0,1380.0
1463081263718499800,821,1463081263716441627,,1522.0,1380.0
